Designator,Mid X,Mid Y,Rotation,Layer
A,229.037639,-123.62018,0.0,bottom
B,229.041359,-78.624645,0.0,bottom
C1,121.781489,-121.213566,270.0,top
C10,121.544239,-113.873566,0.0,top
C11,112.295287,-120.928482,270.0,top
C12,119.750471,-117.655316,0.0,top
C13,117.210471,-108.638316,0.0,top
C14,105.923239,-114.762566,180.0,top
C15,111.368471,-107.622316,135.0,top
C16,118.496239,-120.350566,270.0,top
C17,116.972239,-120.350566,270.0,top
C2,129.826489,-118.193566,90.0,top
C3,126.766489,-110.393566,270.0,top
C4,119.750471,-116.639316,0.0,top
C5,121.544239,-112.349566,0.0,top
C6,105.923239,-116.286566,180.0,top
C7,102.097471,-108.158566,180.0,top
C8,102.351471,-114.861316,0.0,top
C9,122.981489,-121.213566,90.0,top
C_DOWN,244.045735,-139.71715,0.0,bottom
C_LEFT,250.486131,-118.68191,0.0,bottom
C_RIGHT,214.031849,-107.53999,0.0,bottom
C_UP,235.474911,-102.579695,0.0,bottom
D1,125.996489,-121.743566,0.0,top
D3,107.555287,-127.520982,90.0,top
DOWN,98.407347,-68.3505,0.0,bottom
J1,140.065287,-102.348482,180.0,top
J3,104.648,-58.928,270.0,top
J4,64.047823,-76.492576,90.0,top
J5,247.164,-75.822576,270.0,top
L,142.105763,-69.869367,0.0,bottom
LEFT,120.388094,-65.245139,0.0,bottom
LS,194.324009,-43.999438,0.0,bottom
MS,172.683357,-48.61068,0.0,bottom
MX,75.241347,-124.3425,0.0,bottom
MY ,58.975149,-140.147684,0.0,bottom
R,235.91268,-57.509985,0.0,bottom
R10,128.686489,-101.143566,180.0,top
R11,105.923239,-112.730566,0.0,top
R4,107.555287,-124.838482,270.0,top
R5,118.801489,-124.323566,180.0,top
R6,118.801489,-125.863566,0.0,top
R7,106.476489,-119.793566,90.0,top
R8,125.266489,-114.303566,180.0,top
R9,125.266489,-115.833566,180.0,top
RIGHT,78.840389,-78.778901,0.0,bottom
START,89.78221,-47.805739,0.0,bottom
SW1,133.906489,-102.903566,180.0,top
U1,127.586489,-118.646066,270.0,top
U2,116.98096,-79.447005,180.0,top
U3,113.511489,-113.873566,270.0,top
U4,124.856489,-104.743566,180.0,top
UP,165.736155,-69.719961,0.0,bottom
X,209.437678,-68.198969,0.0,bottom
Y,216.29233,-47.081364,0.0,bottom
Y1,102.367239,-111.587566,90.0,top
Z,187.456548,-65.114025,0.0,bottom
