Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C2, C4",402,4,1uF,C52923
"C11, C12, C13, C14, C15, C16, C17, C3, C5, C6",402,10,100nF,C1525
"C7, C8",402,2,22pF,C1555
C9,402,1,10uF,C15525
D1,D_SOD-123,1,Schottky Diode,C8598
D3,805,1,RED,C84256
"R10, R11",402,2,1k,C11702
R4,402,1,470,C25117
R5,603,1,5.6k,C23189
R6,603,1,10k,C25804
R7,402,1,10k,C25744
"R8, R9",RP2040-QFN-56,2,27,C25190
SW1,SW_SPST_SKQG_WithStem,1,Boot,C318884 
U1,SOT-23,1,XC6206,C5446
U2,FPC-SMD_X05A26H12G,1,X05A26H12G,C519263
U3,RP2040-QFN-56,1,RP2040,C2040
U4,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVS,C97521
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12MHz,C9002
"J4, J5",XUNPU FPC-05F-20PH20,2,FPC-05F-20PH20,C2856803
