Designator,Mid X,Mid Y,Rotation,Layer
A1,218.767639,-129.020398,0.0,bottom
B1,218.771359,-84.027504,0.0,bottom
C1,111.511489,-125.183566,270.0,top
C10,111.274239,-117.843566,0.0,top
C11,102.025287,-124.898482,270.0,top
C12,109.480471,-121.625316,0.0,top
C13,106.940471,-112.608316,0.0,top
C14,95.653239,-118.732566,180.0,top
C15,101.098471,-111.592316,135.0,top
C16,108.226239,-124.320566,270.0,top
C17,106.702239,-124.320566,270.0,top
C2,119.556489,-122.163566,90.0,top
C3,116.496489,-114.363566,270.0,top
C4,109.480471,-120.609316,0.0,top
C5,111.274239,-116.319566,0.0,top
C6,95.653239,-120.256566,180.0,top
C7,91.827471,-112.128566,180.0,top
C8,92.081471,-118.831316,0.0,top
C9,112.711489,-125.183566,90.0,top
C_DOWN1,233.775735,-145.117368,0.0,bottom
C_LEFT1,240.216131,-124.082128,0.0,bottom
C_RIGHT1,203.761849,-112.940208,0.0,bottom
C_UP1,225.204911,-107.979913,0.0,bottom
D1,115.726489,-125.713566,0.0,top
D3,97.285287,-131.490982,90.0,top
DOWN1,89.806,-73.058,0.0,bottom
J1,129.795287,-106.318482,180.0,top
J3,94.378,-62.898,270.0,top
J4,46.079,-79.257142,90.0,top
J5,244.644919,-80.619812,270.0,top
L1,131.835763,-73.839367,0.0,bottom
LEFT1,110.118094,-69.215139,0.0,bottom
LS1,184.054009,-49.399656,0.0,bottom
MS1,162.413357,-54.010898,0.0,bottom
MX1,63.579844,-129.016366,0.0,bottom
MY1,48.705149,-144.117684,0.0,bottom
R1,225.64268,-62.910203,0.0,bottom
R10,118.416489,-105.113566,180.0,top
R11,95.653239,-116.700566,0.0,top
R4,97.285287,-128.808482,270.0,top
R5,108.531489,-128.293566,180.0,top
R6,108.531489,-129.833566,0.0,top
R7,96.206489,-123.763566,90.0,top
R8,114.996489,-118.273566,180.0,top
R9,114.996489,-119.803566,180.0,top
RIGHT1,68.570389,-82.748901,0.0,bottom
START1,79.51221,-51.775739,0.0,bottom
SW1,123.636489,-106.873566,180.0,top
U1,117.316489,-122.616066,270.0,top
U2,106.71096,-83.417005,180.0,top
U3,103.241489,-117.843566,270.0,top
U4,114.586489,-108.713566,180.0,top
UP1,155.466155,-75.120179,0.0,bottom
X1,199.167678,-73.599187,0.0,bottom
Y1,92.097239,-115.557566,90.0,top
Y2,206.02233,-52.481582,0.0,bottom
Z1,177.186548,-70.514243,0.0,bottom
